"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"8316",2020-07-26,26,7,2020,0,0,"Djibouti","DJ","DJI",973557,"Africa",8.62815428
"8317",2020-07-25,25,7,2020,8,0,"Djibouti","DJ","DJI",973557,"Africa",8.62815428
"8318",2020-07-24,24,7,2020,1,0,"Djibouti","DJ","DJI",973557,"Africa",7.8064253
"8319",2020-07-23,23,7,2020,3,2,"Djibouti","DJ","DJI",973557,"Africa",14.48297326
"8320",2020-07-22,22,7,2020,7,0,"Djibouti","DJ","DJI",973557,"Africa",15.30470224
"8321",2020-07-21,21,7,2020,9,0,"Djibouti","DJ","DJI",973557,"Africa",20.33779224
"8322",2020-07-20,20,7,2020,8,0,"Djibouti","DJ","DJI",973557,"Africa",22.49483081
"8323",2020-07-19,19,7,2020,0,0,"Djibouti","DJ","DJI",973557,"Africa",27.42520469
"8324",2020-07-18,18,7,2020,10,0,"Djibouti","DJ","DJI",973557,"Africa",27.42520469
"8325",2020-07-17,17,7,2020,8,0,"Djibouti","DJ","DJI",973557,"Africa",28.55508203
"8326",2020-07-16,16,7,2020,6,0,"Djibouti","DJ","DJI",973557,"Africa",28.8632304
"8327",2020-07-15,15,7,2020,2,0,"Djibouti","DJ","DJI",973557,"Africa",30.50668836
"8328",2020-07-14,14,7,2020,5,0,"Djibouti","DJ","DJI",973557,"Africa",32.9718753
"8329",2020-07-13,13,7,2020,17,0,"Djibouti","DJ","DJI",973557,"Africa",33.79360428
"8330",2020-07-12,12,7,2020,0,0,"Djibouti","DJ","DJI",973557,"Africa",32.0474302
"8331",2020-07-11,11,7,2020,0,0,"Djibouti","DJ","DJI",973557,"Africa",32.0474302
"8332",2020-07-10,10,7,2020,66,1,"Djibouti","DJ","DJI",973557,"Africa",32.86915918
"8333",2020-07-09,9,7,2020,11,0,"Djibouti","DJ","DJI",973557,"Africa",26.60347571
"8334",2020-07-08,8,7,2020,56,0,"Djibouti","DJ","DJI",973557,"Africa",26.80890795
"8335",2020-07-07,7,7,2020,30,0,"Djibouti","DJ","DJI",973557,"Africa",22.9056953
"8336",2020-07-06,6,7,2020,56,0,"Djibouti","DJ","DJI",973557,"Africa",21.57038571
"8337",2020-07-05,5,7,2020,0,0,"Djibouti","DJ","DJI",973557,"Africa",17.56445693
"8338",2020-07-04,4,7,2020,21,0,"Djibouti","DJ","DJI",973557,"Africa",17.56445693
"8339",2020-07-03,3,7,2020,11,0,"Djibouti","DJ","DJI",973557,"Africa",16.22914734
"8340",2020-07-02,2,7,2020,22,1,"Djibouti","DJ","DJI",973557,"Africa",16.33186347
"8341",2020-07-01,1,7,2020,26,1,"Djibouti","DJ","DJI",973557,"Africa",14.68840551
"8342",2020-06-30,30,6,2020,13,1,"Djibouti","DJ","DJI",973557,"Africa",15.92099898
"8343",2020-06-29,29,6,2020,0,0,"Djibouti","DJ","DJI",973557,"Africa",18.28346979
"8344",2020-06-28,28,6,2020,0,0,"Djibouti","DJ","DJI",973557,"Africa",19.92692775
"8345",2020-06-27,27,6,2020,8,0,"Djibouti","DJ","DJI",973557,"Africa",20.74865673
"8346",2020-06-26,26,6,2020,5,0,"Djibouti","DJ","DJI",973557,"Africa",24.34372101
"8347",2020-06-25,25,6,2020,13,3,"Djibouti","DJ","DJI",973557,"Africa",26.39804346
"8348",2020-06-24,24,6,2020,18,1,"Djibouti","DJ","DJI",973557,"Africa",29.37681101
"8349",2020-06-23,23,6,2020,17,3,"Djibouti","DJ","DJI",973557,"Africa",32.9718753
"8350",2020-06-22,22,6,2020,17,0,"Djibouti","DJ","DJI",973557,"Africa",38.51854591
"8351",2020-06-21,21,6,2020,0,0,"Djibouti","DJ","DJI",973557,"Africa",40.67558448
"8352",2020-06-20,20,6,2020,8,2,"Djibouti","DJ","DJI",973557,"Africa",45.40052611
"8353",2020-06-19,19,6,2020,12,0,"Djibouti","DJ","DJI",973557,"Africa",51.66620958
"8354",2020-06-18,18,6,2020,6,0,"Djibouti","DJ","DJI",973557,"Africa",62.65683468
"8355",2020-06-17,17,6,2020,38,0,"Djibouti","DJ","DJI",973557,"Africa",78.06425304
"8356",2020-06-16,16,6,2020,36,0,"Djibouti","DJ","DJI",973557,"Africa",95.7314261
"8357",2020-06-15,15,6,2020,16,2,"Djibouti","DJ","DJI",973557,"Africa",114.11761201
"8358",2020-06-14,14,6,2020,8,3,"Djibouti","DJ","DJI",973557,"Africa",128.90873364
"8359",2020-06-13,13,6,2020,43,1,"Djibouti","DJ","DJI",973557,"Africa",156.84751894
"8360",2020-06-12,12,6,2020,25,3,"Djibouti","DJ","DJI",973557,"Africa",152.43072568
"8361",2020-06-11,11,6,2020,42,0,"Djibouti","DJ","DJI",973557,"Africa",172.15222118
"8362",2020-06-10,10,6,2020,53,3,"Djibouti","DJ","DJI",973557,"Africa",191.36013608
"8363",2020-06-09,9,6,2020,71,3,"Djibouti","DJ","DJI",973557,"Africa",185.91618159
"8364",2020-06-08,8,6,2020,38,2,"Djibouti","DJ","DJI",973557,"Africa",198.96112914
"8365",2020-06-07,7,6,2020,46,0,"Djibouti","DJ","DJI",973557,"Africa",195.05791649
"8366",2020-06-06,6,6,2020,69,0,"Djibouti","DJ","DJI",973557,"Africa",190.33297485
"8367",2020-06-05,5,6,2020,119,0,"Djibouti","DJ","DJI",973557,"Africa",206.15125771
"8368",2020-06-04,4,6,2020,156,1,"Djibouti","DJ","DJI",973557,"Africa",216.42286995
"8369",2020-06-03,3,6,2020,210,1,"Djibouti","DJ","DJI",973557,"Africa",232.2411528
"8370",2020-06-02,2,6,2020,215,0,"Djibouti","DJ","DJI",973557,"Africa",210.67076709
"8371",2020-06-01,1,6,2020,160,2,"Djibouti","DJ","DJI",973557,"Africa",200.6045871
"8372",2020-05-31,31,5,2020,280,2,"Djibouti","DJ","DJI",973557,"Africa",191.36013608
"8373",2020-05-30,30,5,2020,0,0,"Djibouti","DJ","DJI",973557,"Africa",164.85937649
"8374",2020-05-29,29,5,2020,217,2,"Djibouti","DJ","DJI",973557,"Africa",167.42727955
"8375",2020-05-28,28,5,2020,229,4,"Djibouti","DJ","DJI",973557,"Africa",146.78133895
"8376",2020-05-27,27,5,2020,0,0,"Djibouti","DJ","DJI",973557,"Africa",124.49194038
"8377",2020-05-26,26,5,2020,198,4,"Djibouti","DJ","DJI",973557,"Africa",127.47070793
"8378",2020-05-25,25,5,2020,0,0,"Djibouti","DJ","DJI",973557,"Africa",108.87908977
"8379",2020-05-24,24,5,2020,0,0,"Djibouti","DJ","DJI",973557,"Africa",111.03612834
"8380",2020-05-23,23,5,2020,223,0,"Djibouti","DJ","DJI",973557,"Africa",116.58279895
"8381",2020-05-22,22,5,2020,219,1,"Djibouti","DJ","DJI",973557,"Africa",93.8825359
"8382",2020-05-21,21,5,2020,310,2,"Djibouti","DJ","DJI",973557,"Africa",72.72301468
"8383",2020-05-20,20,5,2020,0,0,"Djibouti","DJ","DJI",973557,"Africa",40.88101673
"8384",2020-05-19,19,5,2020,117,3,"Djibouti","DJ","DJI",973557,"Africa",41.29188121
"8385",2020-05-18,18,5,2020,70,0,"Djibouti","DJ","DJI",973557,"Africa",29.68495938
"8386",2020-05-17,17,5,2020,22,0,"Djibouti","DJ","DJI",973557,"Africa",22.49483081
"8387",2020-05-16,16,5,2020,25,1,"Djibouti","DJ","DJI",973557,"Africa",21.77581795
"8388",2020-05-15,15,5,2020,16,0,"Djibouti","DJ","DJI",973557,"Africa",20.02964387
"8389",2020-05-14,14,5,2020,12,0,"Djibouti","DJ","DJI",973557,"Africa",19.61877938
"8390",2020-05-13,13,5,2020,29,0,"Djibouti","DJ","DJI",973557,"Africa",18.89976653
"8391",2020-05-12,12,5,2020,17,0,"Djibouti","DJ","DJI",973557,"Africa",19.72149551
"8392",2020-05-11,11,5,2020,21,0,"Djibouti","DJ","DJI",973557,"Africa",19.20791489
"8393",2020-05-10,10,5,2020,54,0,"Djibouti","DJ","DJI",973557,"Africa",18.59161816
"8394",2020-05-09,9,5,2020,2,0,"Djibouti","DJ","DJI",973557,"Africa",13.96939265
"8395",2020-05-08,8,5,2020,13,0,"Djibouti","DJ","DJI",973557,"Africa",15.09927
"8396",2020-05-07,7,5,2020,0,1,"Djibouti","DJ","DJI",973557,"Africa",14.99655387
"8397",2020-05-06,6,5,2020,4,0,"Djibouti","DJ","DJI",973557,"Africa",17.97532142
"8398",2020-05-05,5,5,2020,4,0,"Djibouti","DJ","DJI",973557,"Africa",27.73335305
"8399",2020-05-04,4,5,2020,0,0,"Djibouti","DJ","DJI",973557,"Africa",27.32248857
"8400",2020-05-03,3,5,2020,15,0,"Djibouti","DJ","DJI",973557,"Africa",39.03212652
"8401",2020-05-02,2,5,2020,8,0,"Djibouti","DJ","DJI",973557,"Africa",37.49138469
"8402",2020-05-01,1,5,2020,12,0,"Djibouti","DJ","DJI",973557,"Africa",51.15262897
"8403",2020-04-30,30,4,2020,5,0,"Djibouti","DJ","DJI",973557,"Africa",65.9437506
"8404",2020-04-29,29,4,2020,37,0,"Djibouti","DJ","DJI",973557,"Africa",72.8257308
"8405",2020-04-28,28,4,2020,12,0,"Djibouti","DJ","DJI",973557,"Africa",75.70178223
"8406",2020-04-27,27,4,2020,15,0,"Djibouti","DJ","DJI",973557,"Africa",83.09734304
"8407",2020-04-26,26,4,2020,9,0,"Djibouti","DJ","DJI",973557,"Africa",84.32993651
"8408",2020-04-25,25,4,2020,13,0,"Djibouti","DJ","DJI",973557,"Africa",87.20598794
