"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"9206",2020-07-15,15,7,2020,203,11,"Ethiopia","ET","ETH",112078727,"Africa",1.89420424
"9207",2020-07-14,14,7,2020,206,1,"Ethiopia","ET","ETH",112078727,"Africa",1.71308156
"9208",2020-07-13,13,7,2020,158,3,"Ethiopia","ET","ETH",112078727,"Africa",1.66936229
"9209",2020-07-12,12,7,2020,282,0,"Ethiopia","ET","ETH",112078727,"Africa",1.63456532
"9210",2020-07-11,11,7,2020,147,4,"Ethiopia","ET","ETH",112078727,"Africa",1.51232981
"9211",2020-07-10,10,7,2020,199,0,"Ethiopia","ET","ETH",112078727,"Africa",1.6042295
"9212",2020-07-09,9,7,2020,108,1,"Ethiopia","ET","ETH",112078727,"Africa",1.55248016
"9213",2020-07-08,8,7,2020,280,3,"Ethiopia","ET","ETH",112078727,"Africa",1.6220741
"9214",2020-07-07,7,7,2020,540,13,"Ethiopia","ET","ETH",112078727,"Africa",1.53731225
"9215",2020-07-06,6,7,2020,0,0,"Ethiopia","ET","ETH",112078727,"Africa",1.17239019
"9216",2020-07-05,5,7,2020,0,0,"Ethiopia","ET","ETH",112078727,"Africa",1.22860068
"9217",2020-07-04,4,7,2020,0,0,"Ethiopia","ET","ETH",112078727,"Africa",1.58460044
"9218",2020-07-03,3,7,2020,0,0,"Ethiopia","ET","ETH",112078727,"Africa",1.68809912
"9219",2020-07-02,2,7,2020,0,0,"Ethiopia","ET","ETH",112078727,"Africa",1.86208396
"9220",2020-07-01,1,7,2020,0,0,"Ethiopia","ET","ETH",112078727,"Africa",1.97718163
"9221",2020-06-30,30,6,2020,157,5,"Ethiopia","ET","ETH",112078727,"Africa",2.0744347
"9222",2020-06-29,29,6,2020,119,4,"Ethiopia","ET","ETH",112078727,"Africa",2.09138707
"9223",2020-06-28,28,6,2020,145,5,"Ethiopia","ET","ETH",112078727,"Africa",2.14492086
"9224",2020-06-27,27,6,2020,250,8,"Ethiopia","ET","ETH",112078727,"Africa",2.23949724
"9225",2020-06-26,26,6,2020,141,3,"Ethiopia","ET","ETH",112078727,"Africa",2.23503609
"9226",2020-06-25,25,6,2020,186,3,"Ethiopia","ET","ETH",112078727,"Africa",2.25555738
