"","Date","EpisodeDateCases","ReportedDateCases","Deaths"
"1",2020-01-15,0,0,0
"2",2020-01-16,0,0,0
"3",2020-01-17,0,0,0
"4",2020-01-18,0,0,0
"5",2020-01-19,0,0,0
"6",2020-01-20,0,0,0
"7",2020-01-21,0,0,0
"8",2020-01-22,0,0,0
"9",2020-01-23,0,0,0
"10",2020-01-24,0,0,0
"11",2020-01-25,0,0,0
"12",2020-01-26,0,0,0
"13",2020-01-27,0,0,0
"14",2020-01-28,0,0,0
"15",2020-01-29,0,0,0
"16",2020-01-30,0,0,0
"17",2020-01-31,0,0,0
"18",2020-02-01,0,0,0
"19",2020-02-02,0,0,0
"20",2020-02-03,0,0,0
"21",2020-02-04,0,0,0
"22",2020-02-05,0,0,0
"23",2020-02-06,0,0,0
"24",2020-02-07,0,0,0
"25",2020-02-08,0,0,0
"26",2020-02-09,0,0,0
"27",2020-02-10,1,0,0
"28",2020-02-11,0,0,0
"29",2020-02-12,0,0,0
"30",2020-02-13,0,0,0
"31",2020-02-14,0,0,0
"32",2020-02-15,0,0,0
"33",2020-02-16,0,0,0
"34",2020-02-17,1,0,0
"35",2020-02-18,0,0,0
"36",2020-02-19,1,0,0
"37",2020-02-20,0,0,0
"38",2020-02-21,0,0,0
"39",2020-02-22,3,0,0
"40",2020-02-23,1,0,0
"41",2020-02-24,0,0,0
"42",2020-02-25,1,0,0
"43",2020-02-26,0,0,0
"44",2020-02-27,1,1,0
"45",2020-02-28,2,2,0
"46",2020-02-29,0,3,0
"47",2020-03-01,1,0,0
"48",2020-03-02,0,0,0
"49",2020-03-03,0,0,0
"50",2020-03-04,1,0,0
"51",2020-03-05,1,0,0
"52",2020-03-06,6,1,0
"53",2020-03-07,4,1,0
"54",2020-03-08,5,0,0
"55",2020-03-09,5,1,0
"56",2020-03-10,7,1,0
"57",2020-03-11,11,1,0
"58",2020-03-12,13,2,0
"59",2020-03-13,19,0,0
"60",2020-03-14,14,5,0
"61",2020-03-15,21,4,0
"62",2020-03-16,30,11,0
"63",2020-03-17,26,2,0
"64",2020-03-18,41,6,0
"65",2020-03-19,33,10,0
"66",2020-03-20,40,23,0
"67",2020-03-21,31,10,1
"68",2020-03-22,30,10,0
"69",2020-03-23,38,27,0
"70",2020-03-24,25,40,0
"71",2020-03-25,39,20,1
"72",2020-03-26,19,23,1
"73",2020-03-27,46,31,0
"74",2020-03-28,19,17,2
"75",2020-03-29,22,16,1
"76",2020-03-30,43,66,0
"77",2020-03-31,32,42,6
"78",2020-04-01,35,46,2
"79",2020-04-02,27,37,1
"80",2020-04-03,30,38,3
"81",2020-04-04,43,28,1
"82",2020-04-05,28,28,0
"83",2020-04-06,36,24,3
"84",2020-04-07,32,39,4
"85",2020-04-08,37,45,1
"86",2020-04-09,42,51,2
"87",2020-04-10,51,27,1
"88",2020-04-11,51,49,3
"89",2020-04-12,51,44,3
"90",2020-04-13,71,61,6
"91",2020-04-14,71,74,1
"92",2020-04-15,50,56,7
"93",2020-04-16,46,53,0
"94",2020-04-17,65,46,2
"95",2020-04-18,37,48,5
"96",2020-04-19,42,47,6
"97",2020-04-20,37,67,4
"98",2020-04-21,37,47,4
"99",2020-04-22,36,45,4
"100",2020-04-23,31,54,4
"101",2020-04-24,28,37,5
"102",2020-04-25,19,20,5
"103",2020-04-26,31,15,4
"104",2020-04-27,45,41,7
"105",2020-04-28,25,27,5
"106",2020-04-29,27,40,6
"107",2020-04-30,31,28,4
"108",2020-05-01,31,42,3
"109",2020-05-02,20,12,4
"110",2020-05-03,26,10,5
"111",2020-05-04,18,18,2
"112",2020-05-05,23,33,4
"113",2020-05-06,21,26,2
"114",2020-05-07,26,25,2
"115",2020-05-08,17,22,3
"116",2020-05-09,22,27,3
