"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"1",2020-07-15,15,7,2020,285,33,"Afghanistan","AF","AFG",38041757,"Asia",8.47226904
"2",2020-07-14,14,7,2020,4,2,"Afghanistan","AF","AFG",38041757,"Asia",8.4564969
"3",2020-07-13,13,7,2020,0,0,"Afghanistan","AF","AFG",38041757,"Asia",9.15835722
"4",2020-07-12,12,7,2020,85,16,"Afghanistan","AF","AFG",38041757,"Asia",10.08102754
"5",2020-07-11,11,7,2020,458,37,"Afghanistan","AF","AFG",38041757,"Asia",10.29132277
"6",2020-07-10,10,7,2020,255,20,"Afghanistan","AF","AFG",38041757,"Asia",9.81290112
"7",2020-07-09,9,7,2020,59,1,"Afghanistan","AF","AFG",38041757,"Asia",10.35178265
"8",2020-07-08,8,7,2020,210,16,"Afghanistan","AF","AFG",38041757,"Asia",10.81180346
"9",2020-07-07,7,7,2020,433,56,"Afghanistan","AF","AFG",38041757,"Asia",11.14827583
"10",2020-07-06,6,7,2020,279,38,"Afghanistan","AF","AFG",38041757,"Asia",10.82494691
"11",2020-07-05,5,7,2020,348,7,"Afghanistan","AF","AFG",38041757,"Asia",11.16667666
"12",2020-07-04,4,7,2020,302,12,"Afghanistan","AF","AFG",38041757,"Asia",11.68715735
"13",2020-07-03,3,7,2020,186,33,"Afghanistan","AF","AFG",38041757,"Asia",11.80281973
"14",2020-07-02,2,7,2020,319,28,"Afghanistan","AF","AFG",38041757,"Asia",13.04356158
"15",2020-07-01,1,7,2020,279,13,"Afghanistan","AF","AFG",38041757,"Asia",13.68759072
"16",2020-06-30,30,6,2020,271,12,"Afghanistan","AF","AFG",38041757,"Asia",15.01245066
"17",2020-06-29,29,6,2020,351,18,"Afghanistan","AF","AFG",38041757,"Asia",16.30050894
"18",2020-06-28,28,6,2020,165,20,"Afghanistan","AF","AFG",38041757,"Asia",17.12328902
"19",2020-06-27,27,6,2020,276,8,"Afghanistan","AF","AFG",38041757,"Asia",18.15110695
"20",2020-06-26,26,6,2020,460,36,"Afghanistan","AF","AFG",38041757,"Asia",19.15000929
"21",2020-06-25,25,6,2020,234,21,"Afghanistan","AF","AFG",38041757,"Asia",19.90444343
"22",2020-06-24,24,6,2020,338,20,"Afghanistan","AF","AFG",38041757,"Asia",21.08735409
"23",2020-06-23,23,6,2020,310,17,"Afghanistan","AF","AFG",38041757,"Asia",21.62360692
"24",2020-06-22,22,6,2020,409,12,"Afghanistan","AF","AFG",38041757,"Asia",22.32020987
"25",2020-06-21,21,6,2020,546,21,"Afghanistan","AF","AFG",38041757,"Asia",23.32436959
"26",2020-06-20,20,6,2020,346,2,"Afghanistan","AF","AFG",38041757,"Asia",23.41900244
"27",2020-06-19,19,6,2020,658,42,"Afghanistan","AF","AFG",38041757,"Asia",24.91472726
"28",2020-06-18,18,6,2020,564,13,"Afghanistan","AF","AFG",38041757,"Asia",25.25382831
"29",2020-06-17,17,6,2020,783,13,"Afghanistan","AF","AFG",38041757,"Asia",25.76379424
"30",2020-06-16,16,6,2020,761,7,"Afghanistan","AF","AFG",38041757,"Asia",25.70070567
"31",2020-06-15,15,6,2020,664,20,"Afghanistan","AF","AFG",38041757,"Asia",25.13290856
"32",2020-06-14,14,6,2020,556,5,"Afghanistan","AF","AFG",38041757,"Asia",25.1749676
"33",2020-06-13,13,6,2020,656,20,"Afghanistan","AF","AFG",38041757,"Asia",25.98986161
"34",2020-06-12,12,6,2020,747,21,"Afghanistan","AF","AFG",38041757,"Asia",25.90311483
"35",2020-06-11,11,6,2020,684,21,"Afghanistan","AF","AFG",38041757,"Asia",25.46412354
"36",2020-06-10,10,6,2020,542,15,"Afghanistan","AF","AFG",38041757,"Asia",25.30903081
"37",2020-06-09,9,6,2020,575,12,"Afghanistan","AF","AFG",38041757,"Asia",25.61395889
"38",2020-06-08,8,6,2020,791,30,"Afghanistan","AF","AFG",38041757,"Asia",25.65601794
"39",2020-06-07,7,6,2020,582,18,"Afghanistan","AF","AFG",38041757,"Asia",25.11187903
"40",2020-06-06,6,6,2020,915,9,"Afghanistan","AF","AFG",38041757,"Asia",25.63761711
"41",2020-06-05,5,6,2020,787,6,"Afghanistan","AF","AFG",38041757,"Asia",24.65185822
"42",2020-06-04,4,6,2020,758,24,"Afghanistan","AF","AFG",38041757,"Asia",23.97891349
"43",2020-06-03,3,6,2020,759,5,"Afghanistan","AF","AFG",38041757,"Asia",23.27968185
"44",2020-06-02,2,6,2020,545,8,"Afghanistan","AF","AFG",38041757,"Asia",22.81177497
"45",2020-06-01,1,6,2020,680,8,"Afghanistan","AF","AFG",38041757,"Asia",22.45164439
"46",2020-05-31,31,5,2020,866,3,"Afghanistan","AF","AFG",38041757,"Asia",21.35285181
"47",2020-05-30,30,5,2020,623,11,"Afghanistan","AF","AFG",38041757,"Asia",19.07640596
"48",2020-05-29,29,5,2020,580,8,"Afghanistan","AF","AFG",38041757,"Asia",20.23302972
"49",2020-05-28,28,5,2020,625,7,"Afghanistan","AF","AFG",38041757,"Asia",19.00543132
"50",2020-05-27,27,5,2020,658,1,"Afghanistan","AF","AFG",38041757,"Asia",18.04333065
"51",2020-05-26,26,5,2020,591,1,"Afghanistan","AF","AFG",38041757,"Asia",17.04968569
"52",2020-05-25,25,5,2020,584,2,"Afghanistan","AF","AFG",38041757,"Asia",16.24530644
"53",2020-05-24,24,5,2020,782,11,"Afghanistan","AF","AFG",38041757,"Asia",15.68013801
"54",2020-05-23,23,5,2020,540,12,"Afghanistan","AF","AFG",38041757,"Asia",14.29481819
"55",2020-05-22,22,5,2020,531,6,"Afghanistan","AF","AFG",38041757,"Asia",13.44049382
"56",2020-05-21,21,5,2020,492,9,"Afghanistan","AF","AFG",38041757,"Asia",12.49416529
"57",2020-05-20,20,5,2020,581,5,"Afghanistan","AF","AFG",38041757,"Asia",11.64246962
"58",2020-05-19,19,5,2020,408,4,"Afghanistan","AF","AFG",38041757,"Asia",10.98266833
"59",2020-05-18,18,5,2020,262,1,"Afghanistan","AF","AFG",38041757,"Asia",10.40961384
"60",2020-05-17,17,5,2020,0,0,"Afghanistan","AF","AFG",38041757,"Asia",10.3386392
"61",2020-05-16,16,5,2020,1063,32,"Afghanistan","AF","AFG",38041757,"Asia",10.6908837
"62",2020-05-15,15,5,2020,113,6,"Afghanistan","AF","AFG",38041757,"Asia",8.32769107
"63",2020-05-14,14,5,2020,259,3,"Afghanistan","AF","AFG",38041757,"Asia",8.61421832
