"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",26,39.4,18,28.9,44,34.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",62,80.1,64,87.6,126,83.7,0,0,1,1.4,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",200,235.7,245,299.5,445,267,7,8.2,5,6.1,12,7.2,1,1.2,0,0,1,0.6,0,0,0,0,0,0
"4","30-39",182,242,210,262.8,395,254.6,5,6.6,6,7.5,11,7.1,1,1.3,0,0,1,0.6,0,0,3,0,0,0
"5","40-49",208,269.9,232,271.6,441,271.4,12,15.6,13,15.2,25,15.4,3,3.9,2,2.3,5,3.1,0,0,1,0,0,0
"6","50-59",290,327.7,301,327.2,594,329.1,33,37.3,24,26.1,57,31.6,8,9,7,7.6,15,8.3,0,0,3,0,0,0
"7","60-69",217,310.9,194,262,411,285.7,46,65.9,25,33.8,71,49.4,11,15.8,5,6.8,16,11.1,0,0,0,0,0,0
"8","70-79",132,310.2,121,254.4,254,281.9,34,79.9,22,46.3,56,62.1,25,58.8,13,27.3,38,42.2,0,0,1,0,0,0
"9","80-89",95,539.4,213,958.8,310,778.4,37,210.1,47,211.6,84,210.9,32,181.7,53,238.6,85,213.4,0,0,2,0,0,0
"10","90+",59,2044.4,142,2501.3,201,2347.3,22,762.3,36,634.1,58,677.3,38,1316.7,51,898.4,89,1039.4,0,0,0,0,0,0
"11","Total",1471,244.4,1740,278.9,3221,262.8,196,32.6,179,28.7,375,30.6,119,19.8,131,21,250,20.4,0,0,10,0,0,0
