"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"21163",2020-07-17,17,7,2020,1327,9,"Oman","OM","OMN",4974992,"Asia",402.39260686
"21164",2020-07-16,16,7,2020,1679,8,"Oman","OM","OMN",4974992,"Asia",403.07602505
"21165",2020-07-15,15,7,2020,1389,14,"Oman","OM","OMN",4974992,"Asia",391.92022821
"21166",2020-07-14,14,7,2020,2164,2,"Oman","OM","OMN",4974992,"Asia",384.30212551
"21167",2020-07-13,13,7,2020,1318,9,"Oman","OM","OMN",4974992,"Asia",359.09605483
"21168",2020-07-12,12,7,2020,1083,4,"Oman","OM","OMN",4974992,"Asia",356.66389011
"21169",2020-07-11,11,7,2020,1889,8,"Oman","OM","OMN",4974992,"Asia",353.3674024
"21170",2020-07-10,10,7,2020,1518,3,"Oman","OM","OMN",4974992,"Asia",338.15129753
"21171",2020-07-09,9,7,2020,1210,9,"Oman","OM","OMN",4974992,"Asia",335.09601623
"21172",2020-07-08,8,7,2020,1262,6,"Oman","OM","OMN",4974992,"Asia",333.72917987
"21173",2020-07-07,7,7,2020,1557,5,"Oman","OM","OMN",4974992,"Asia",334.85480982
"21174",2020-07-06,6,7,2020,1072,10,"Oman","OM","OMN",4974992,"Asia",335.81963549
"21175",2020-07-05,5,7,2020,1177,10,"Oman","OM","OMN",4974992,"Asia",332.46284617
"21176",2020-07-04,4,7,2020,1374,5,"Oman","OM","OMN",4974992,"Asia",326.81459588
"21177",2020-07-03,3,7,2020,1361,3,"Oman","OM","OMN",4974992,"Asia",316.3221167
"21178",2020-07-02,2,7,2020,1124,9,"Oman","OM","OMN",4974992,"Asia",303.81958403
"21179",2020-07-01,1,7,2020,1010,7,"Oman","OM","OMN",4974992,"Asia",297.50801609
"21180",2020-06-30,30,6,2020,910,6,"Oman","OM","OMN",4974992,"Asia",292.18137436
"21181",2020-06-29,29,6,2020,1197,4,"Oman","OM","OMN",4974992,"Asia",294.8547455
"21182",2020-06-28,28,6,2020,919,6,"Oman","OM","OMN",4974992,"Asia",299.01555621
"21183",2020-06-27,27,6,2020,1132,9,"Oman","OM","OMN",4974992,"Asia",300.76430274
"21184",2020-06-26,26,6,2020,1366,2,"Oman","OM","OMN",4974992,"Asia",300.46279471
"21185",2020-06-25,25,6,2020,1142,2,"Oman","OM","OMN",4974992,"Asia",294.4527348
"21186",2020-06-24,24,6,2020,1318,3,"Oman","OM","OMN",4974992,"Asia",285.34719252
