"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"200",2020-07-26,26,7,2020,67,6,"Albania","AL","ALB",2862427,"Europe",44.22820215
"201",2020-07-25,25,7,2020,104,5,"Albania","AL","ALB",2862427,"Europe",45.13652226
"202",2020-07-24,24,7,2020,108,3,"Albania","AL","ALB",2862427,"Europe",44.64742682
"203",2020-07-23,23,7,2020,68,3,"Albania","AL","ALB",2862427,"Europe",43.73910671
"204",2020-07-22,22,7,2020,119,4,"Albania","AL","ALB",2862427,"Europe",43.73910671
"205",2020-07-21,21,7,2020,81,1,"Albania","AL","ALB",2862427,"Europe",42.16701422
"206",2020-07-20,20,7,2020,82,1,"Albania","AL","ALB",2862427,"Europe",41.81766033
"207",2020-07-19,19,7,2020,102,4,"Albania","AL","ALB",2862427,"Europe",41.53817722
"208",2020-07-18,18,7,2020,55,3,"Albania","AL","ALB",2862427,"Europe",40.31543861
"209",2020-07-17,17,7,2020,99,3,"Albania","AL","ALB",2862427,"Europe",41.53817722
"210",2020-07-16,16,7,2020,85,4,"Albania","AL","ALB",2862427,"Europe",40.94427561
"211",2020-07-15,15,7,2020,96,2,"Albania","AL","ALB",2862427,"Europe",39.54686006
"212",2020-07-14,14,7,2020,117,2,"Albania","AL","ALB",2862427,"Europe",38.60360456
"213",2020-07-13,13,7,2020,83,4,"Albania","AL","ALB",2862427,"Europe",36.75202896
"214",2020-07-12,12,7,2020,93,4,"Albania","AL","ALB",2862427,"Europe",36.36773968
"215",2020-07-11,11,7,2020,90,2,"Albania","AL","ALB",2862427,"Europe",35.24980724
"216",2020-07-10,10,7,2020,82,0,"Albania","AL","ALB",2862427,"Europe",34.79564719
"217",2020-07-09,9,7,2020,68,2,"Albania","AL","ALB",2862427,"Europe",34.65590564
"218",2020-07-08,8,7,2020,74,2,"Albania","AL","ALB",2862427,"Europe",34.62097025
"219",2020-07-07,7,7,2020,71,3,"Albania","AL","ALB",2862427,"Europe",33.85239169
"220",2020-07-06,6,7,2020,74,2,"Albania","AL","ALB",2862427,"Europe",33.74758553
"221",2020-07-05,5,7,2020,67,2,"Albania","AL","ALB",2862427,"Europe",32.42004076
"222",2020-07-04,4,7,2020,90,3,"Albania","AL","ALB",2862427,"Europe",31.93094531
"223",2020-07-03,3,7,2020,82,4,"Albania","AL","ALB",2862427,"Europe",30.53352976
"224",2020-07-02,2,7,2020,45,3,"Albania","AL","ALB",2862427,"Europe",29.97456354
"225",2020-07-01,1,7,2020,69,4,"Albania","AL","ALB",2862427,"Europe",30.14924049
"226",2020-06-30,30,6,2020,64,3,"Albania","AL","ALB",2862427,"Europe",30.60340054
"227",2020-06-29,29,6,2020,72,2,"Albania","AL","ALB",2862427,"Europe",30.77807748
"228",2020-06-28,28,6,2020,61,2,"Albania","AL","ALB",2862427,"Europe",30.25404665
"229",2020-06-27,27,6,2020,77,2,"Albania","AL","ALB",2862427,"Europe",29.7998866
"230",2020-06-26,26,6,2020,78,2,"Albania","AL","ALB",2862427,"Europe",28.19285872
"231",2020-06-25,25,6,2020,67,2,"Albania","AL","ALB",2862427,"Europe",27.0050555
"232",2020-06-24,24,6,2020,52,1,"Albania","AL","ALB",2862427,"Europe",26.13167078
"233",2020-06-23,23,6,2020,68,0,"Albania","AL","ALB",2862427,"Europe",25.57270456
"234",2020-06-22,22,6,2020,36,1,"Albania","AL","ALB",2862427,"Europe",23.79099974
"235",2020-06-21,21,6,2020,53,1,"Albania","AL","ALB",2862427,"Europe",23.02242118
"236",2020-06-20,20,6,2020,50,3,"Albania","AL","ALB",2862427,"Europe",21.86955335
"237",2020-06-19,19,6,2020,66,1,"Albania","AL","ALB",2862427,"Europe",20.64681475
"238",2020-06-18,18,6,2020,50,1,"Albania","AL","ALB",2862427,"Europe",18.79523914
"239",2020-06-17,17,6,2020,82,1,"Albania","AL","ALB",2862427,"Europe",17.74717748
"240",2020-06-16,16,6,2020,69,0,"Albania","AL","ALB",2862427,"Europe",15.61611877
"241",2020-06-15,15,6,2020,57,0,"Albania","AL","ALB",2862427,"Europe",13.41518928
"242",2020-06-14,14,6,2020,48,0,"Albania","AL","ALB",2862427,"Europe",11.94790295
"243",2020-06-13,13,6,2020,31,1,"Albania","AL","ALB",2862427,"Europe",11.07451823
"244",2020-06-12,12,6,2020,44,1,"Albania","AL","ALB",2862427,"Europe",10.79503512
"245",2020-06-11,11,6,2020,42,0,"Albania","AL","ALB",2862427,"Europe",10.16619812
"246",2020-06-10,10,6,2020,36,0,"Albania","AL","ALB",2862427,"Europe",9.43255496
"247",2020-06-09,9,6,2020,17,0,"Albania","AL","ALB",2862427,"Europe",9.04826569
"248",2020-06-08,8,6,2020,14,0,"Albania","AL","ALB",2862427,"Europe",8.66397641
"249",2020-06-07,7,6,2020,20,1,"Albania","AL","ALB",2862427,"Europe",8.48929947
"250",2020-06-06,6,6,2020,15,0,"Albania","AL","ALB",2862427,"Europe",8.0700748
"251",2020-06-05,5,6,2020,13,0,"Albania","AL","ALB",2862427,"Europe",7.96526863
"252",2020-06-04,4,6,2020,20,0,"Albania","AL","ALB",2862427,"Europe",7.68578552
"253",2020-06-03,3,6,2020,21,0,"Albania","AL","ALB",2862427,"Europe",7.51110858
"254",2020-06-02,2,6,2020,6,0,"Albania","AL","ALB",2862427,"Europe",6.81240081
"255",2020-06-01,1,6,2020,15,0,"Albania","AL","ALB",2862427,"Europe",6.67265925
"256",2020-05-31,31,5,2020,23,0,"Albania","AL","ALB",2862427,"Europe",6.60278847
"257",2020-05-30,30,5,2020,23,0,"Albania","AL","ALB",2862427,"Europe",6.39317614
"258",2020-05-29,29,5,2020,26,0,"Albania","AL","ALB",2862427,"Europe",6.2184992
"259",2020-05-28,28,5,2020,21,0,"Albania","AL","ALB",2862427,"Europe",5.93901609
"260",2020-05-27,27,5,2020,25,1,"Albania","AL","ALB",2862427,"Europe",5.34511448
"261",2020-05-26,26,5,2020,6,0,"Albania","AL","ALB",2862427,"Europe",4.61147131
"262",2020-05-25,25,5,2020,9,1,"Albania","AL","ALB",2862427,"Europe",4.54160054
"263",2020-05-24,24,5,2020,8,0,"Albania","AL","ALB",2862427,"Europe",4.6464067
"264",2020-05-23,23,5,2020,12,0,"Albania","AL","ALB",2862427,"Europe",4.57653593
