"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"19680",2020-07-19,19,7,2020,125,0,"Namibia","NA","NAM",2494524,"Africa",33.1927053
"19681",2020-07-18,18,7,2020,46,0,"Namibia","NA","NAM",2494524,"Africa",29.18392447
"19682",2020-07-17,17,7,2020,72,0,"Namibia","NA","NAM",2494524,"Africa",29.62489036
"19683",2020-07-16,16,7,2020,96,0,"Namibia","NA","NAM",2494524,"Africa",27.05927063
"19684",2020-07-15,15,7,2020,3,1,"Namibia","NA","NAM",2494524,"Africa",26.49804131
"19685",2020-07-14,14,7,2020,76,0,"Namibia","NA","NAM",2494524,"Africa",26.65839254
"19686",2020-07-13,13,7,2020,117,0,"Namibia","NA","NAM",2494524,"Africa",24.13286062
"19687",2020-07-12,12,7,2020,0,0,"Namibia","NA","NAM",2494524,"Africa",21.92803116
"19688",2020-07-11,11,7,2020,53,1,"Namibia","NA","NAM",2494524,"Africa",21.92803116
"19689",2020-07-10,10,7,2020,22,0,"Namibia","NA","NAM",2494524,"Africa",21.40688965
"19690",2020-07-09,9,7,2020,54,0,"Namibia","NA","NAM",2494524,"Africa",20.72539691
"19691",2020-07-08,8,7,2020,54,0,"Namibia","NA","NAM",2494524,"Africa",18.72100649
"19692",2020-07-07,7,7,2020,73,0,"Namibia","NA","NAM",2494524,"Africa",16.91705512
"19693",2020-07-06,6,7,2020,37,0,"Namibia","NA","NAM",2494524,"Africa",14.31134758
"19694",2020-07-05,5,7,2020,25,0,"Namibia","NA","NAM",2494524,"Africa",13.18888894
"19695",2020-07-04,4,7,2020,57,0,"Namibia","NA","NAM",2494524,"Africa",12.22678154
"19696",2020-07-03,3,7,2020,8,0,"Namibia","NA","NAM",2494524,"Africa",10.18230332
"19697",2020-07-02,2,7,2020,82,0,"Namibia","NA","NAM",2494524,"Africa",9.98186428
"19698",2020-07-01,1,7,2020,7,0,"Namibia","NA","NAM",2494524,"Africa",6.77483961
"19699",2020-06-30,30,6,2020,13,0,"Namibia","NA","NAM",2494524,"Africa",6.57440057
"19700",2020-06-29,29,6,2020,62,0,"Namibia","NA","NAM",2494524,"Africa",6.05325906
"19701",2020-06-28,28,6,2020,0,0,"Namibia","NA","NAM",2494524,"Africa",3.56781494
"19702",2020-06-27,27,6,2020,40,0,"Namibia","NA","NAM",2494524,"Africa",3.60790275
"19703",2020-06-26,26,6,2020,5,0,"Namibia","NA","NAM",2494524,"Africa",2.00439042
"19704",2020-06-25,25,6,2020,4,0,"Namibia","NA","NAM",2494524,"Africa",1.80395138
"19705",2020-06-24,24,6,2020,9,0,"Namibia","NA","NAM",2494524,"Africa",1.64360014
"19706",2020-06-23,23,6,2020,8,0,"Namibia","NA","NAM",2494524,"Africa",1.28280987
"19707",2020-06-22,22,6,2020,9,0,"Namibia","NA","NAM",2494524,"Africa",1.04228302
