"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"16497",2020-07-24,24,7,2020,921,42,"Kyrgyzstan","KG","KGZ",6415851,"Asia",341.17064128
"16498",2020-07-23,23,7,2020,967,46,"Kyrgyzstan","KG","KGZ",6415851,"Asia",334.78021856
"16499",2020-07-22,22,7,2020,1108,44,"Kyrgyzstan","KG","KGZ",6415851,"Asia",325.33486205
"16500",2020-07-21,21,7,2020,1108,42,"Kyrgyzstan","KG","KGZ",6415851,"Asia",313.44244123
"16501",2020-07-20,20,7,2020,611,34,"Kyrgyzstan","KG","KGZ",6415851,"Asia",303.18659208
"16502",2020-07-19,19,7,2020,1926,103,"Kyrgyzstan","KG","KGZ",6415851,"Asia",298.55743221
"16503",2020-07-18,18,7,2020,11505,728,"Kyrgyzstan","KG","KGZ",6415851,"Asia",272.94898214
"16504",2020-07-17,17,7,2020,603,5,"Kyrgyzstan","KG","KGZ",6415851,"Asia",98.72423783
"16505",2020-07-16,16,7,2020,521,7,"Kyrgyzstan","KG","KGZ",6415851,"Asia",105.41080209
"16506",2020-07-15,15,7,2020,439,11,"Kyrgyzstan","KG","KGZ",6415851,"Asia",97.29028932
"16507",2020-07-14,14,7,2020,421,2,"Kyrgyzstan","KG","KGZ",6415851,"Asia",97.29028932
"16508",2020-07-13,13,7,2020,488,15,"Kyrgyzstan","KG","KGZ",6415851,"Asia",95.07702096
"16509",2020-07-12,12,7,2020,719,7,"Kyrgyzstan","KG","KGZ",6415851,"Asia",91.66360004
"16510",2020-07-11,11,7,2020,552,3,"Kyrgyzstan","KG","KGZ",6415851,"Asia",84.11978395
"16511",2020-07-10,10,7,2020,511,6,"Kyrgyzstan","KG","KGZ",6415851,"Asia",80.33228951
"16512",2020-07-09,9,7,2020,361,4,"Kyrgyzstan","KG","KGZ",6415851,"Asia",76.26423993
"16513",2020-07-08,8,7,2020,345,13,"Kyrgyzstan","KG","KGZ",6415851,"Asia",74.19124914
"16514",2020-07-07,7,7,2020,450,7,"Kyrgyzstan","KG","KGZ",6415851,"Asia",72.04032637
"16515",2020-07-06,6,7,2020,314,4,"Kyrgyzstan","KG","KGZ",6415851,"Asia",67.56703047
"16516",2020-07-05,5,7,2020,283,10,"Kyrgyzstan","KG","KGZ",6415851,"Asia",65.86811321
"16517",2020-07-04,4,7,2020,327,2,"Kyrgyzstan","KG","KGZ",6415851,"Asia",64.10685036
"16518",2020-07-03,3,7,2020,1032,14,"Kyrgyzstan","KG","KGZ",6415851,"Asia",62.00268678
"16519",2020-07-02,2,7,2020,0,0,"Kyrgyzstan","KG","KGZ",6415851,"Asia",47.97492959
"16520",2020-07-01,1,7,2020,439,5,"Kyrgyzstan","KG","KGZ",6415851,"Asia",49.4556373
"16521",2020-06-30,30,6,2020,279,7,"Kyrgyzstan","KG","KGZ",6415851,"Asia",44.01598479
"16522",2020-06-29,29,6,2020,269,3,"Kyrgyzstan","KG","KGZ",6415851,"Asia",41.22601974
"16523",2020-06-28,28,6,2020,235,1,"Kyrgyzstan","KG","KGZ",6415851,"Asia",38.38929551
"16524",2020-06-27,27,6,2020,309,3,"Kyrgyzstan","KG","KGZ",6415851,"Asia",35.9422312
"16525",2020-06-26,26,6,2020,250,0,"Kyrgyzstan","KG","KGZ",6415851,"Asia",31.76507684
"16526",2020-06-25,25,6,2020,228,1,"Kyrgyzstan","KG","KGZ",6415851,"Asia",28.4451743
"16527",2020-06-24,24,6,2020,207,1,"Kyrgyzstan","KG","KGZ",6415851,"Asia",25.4525861
"16528",2020-06-23,23,6,2020,163,1,"Kyrgyzstan","KG","KGZ",6415851,"Asia",22.81848503
"16529",2020-06-22,22,6,2020,205,3,"Kyrgyzstan","KG","KGZ",6415851,"Asia",20.63638947
"16530",2020-06-21,21,6,2020,170,2,"Kyrgyzstan","KG","KGZ",6415851,"Asia",17.83083803
"16531",2020-06-20,20,6,2020,192,3,"Kyrgyzstan","KG","KGZ",6415851,"Asia",15.69550166
"16532",2020-06-19,19,6,2020,132,1,"Kyrgyzstan","KG","KGZ",6415851,"Asia",13.29519654
"16533",2020-06-18,18,6,2020,95,1,"Kyrgyzstan","KG","KGZ",6415851,"Asia",11.81448883
"16534",2020-06-17,17,6,2020,90,2,"Kyrgyzstan","KG","KGZ",6415851,"Asia",10.77020024
