"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",3,11.1,2,7.8,5,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",16,57.4,8,30.1,24,44.1,0,0,1,3.8,1,1.8,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",64,163.9,74,199.1,138,181.1,1,2.6,1,2.7,2,2.6,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",37,103.1,37,98.6,74,100.8,2,5.6,2,5.3,4,5.4,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",27,90.4,43,143.3,70,116.9,4,13.4,3,10,7,11.7,1,3.3,0,0,1,1.7,0,0,0,0,0,0
"6","50-59",32,97,73,215.6,105,157.1,8,24.3,7,20.7,15,22.4,1,3,2,5.9,3,4.5,0,0,0,0,0,0
"7","60-69",27,92.9,46,144.9,73,120,5,17.2,14,44.1,19,31.2,4,13.8,3,9.4,7,11.5,0,0,0,0,0,0
"8","70-79",25,135.7,28,129.2,53,132.2,15,81.4,10,46.1,25,62.4,5,27.1,4,18.5,9,22.4,0,0,0,0,0,0
"9","80-89",27,363.3,36,334.6,63,346.3,13,174.9,15,139.4,28,153.9,11,148,10,92.9,21,115.4,0,0,0,0,0,0
"10","90+",7,449,33,951,40,795.4,3,192.4,9,259.4,12,238.6,4,256.6,12,345.8,16,318.2,0,0,0,0,0,0
"11","Total",265,106.4,380,147.1,645,127.1,51,20.5,62,24,113,22.3,26,10.4,31,12,57,11.2,0,0,0,0,0,0
