"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"5894",2020-07-19,19,7,2020,0,0,"Chile","CL","CHL",18952035,"America",183.05158259
"5895",2020-07-18,18,7,2020,2841,1057,"Chile","CL","CHL",18952035,"America",202.88058776
"5896",2020-07-17,17,7,2020,2493,104,"Chile","CL","CHL",18952035,"America",206.61105786
"5897",2020-07-16,16,7,2020,1712,117,"Chile","CL","CHL",18952035,"America",206.63744025
"5898",2020-07-15,15,7,2020,1836,45,"Chile","CL","CHL",18952035,"America",211.58677683
"5899",2020-07-14,14,7,2020,2616,45,"Chile","CL","CHL",18952035,"America",219.8075299
"5900",2020-07-13,13,7,2020,3012,98,"Chile","CL","CHL",18952035,"America",227.1998759
"5901",2020-07-12,12,7,2020,2755,100,"Chile","CL","CHL",18952035,"America",233.55275568
"5902",2020-07-11,11,7,2020,3058,99,"Chile","CL","CHL",18952035,"America",242.26422123
"5903",2020-07-10,10,7,2020,3133,109,"Chile","CL","CHL",18952035,"America",248.79650127
"5904",2020-07-09,9,7,2020,2064,139,"Chile","CL","CHL",18952035,"America",256.79036578
"5905",2020-07-08,8,7,2020,2462,50,"Chile","CL","CHL",18952035,"America",265.15358377
"5906",2020-07-07,7,7,2020,3025,76,"Chile","CL","CHL",18952035,"America",272.23461755
"5907",2020-07-06,6,7,2020,3685,116,"Chile","CL","CHL",18952035,"America",280.58728258
"5908",2020-07-05,5,7,2020,3758,141,"Chile","CL","CHL",18952035,"America",290.72867373
"5909",2020-07-04,4,7,2020,3548,131,"Chile","CL","CHL",18952035,"America",299.15520945
"5910",2020-07-03,3,7,2020,2498,167,"Chile","CL","CHL",18952035,"America",313.62331275
"5911",2020-07-02,2,7,2020,2650,65,"Chile","CL","CHL",18952035,"America",324.0549102
"5912",2020-07-01,1,7,2020,3394,113,"Chile","CL","CHL",18952035,"America",500.96994861
"5913",2020-06-30,30,6,2020,4017,66,"Chile","CL","CHL",18952035,"America",509.51256686
"5914",2020-06-29,29,6,2020,4216,162,"Chile","CL","CHL",18952035,"America",515.45388134
"5915",2020-06-28,28,6,2020,4406,279,"Chile","CL","CHL",18952035,"America",529.81645507
